gene_symbol	TCGA-04-1348-01A-01R-1565-13	TCGA-04-1357-01A-01R-1565-13	TCGA-04-1362-01A-01R-1565-13	TCGA-04-1364-01A-01R-1565-13	TCGA-04-1365-01A-01R-1565-13	TCGA-04-1514-01A-01R-1566-13	TCGA-04-1519-01A-01R-1565-13	TCGA-09-0364-01A-02R-1564-13	TCGA-09-0366-01A-01R-1564-13
POLI	2.62159125526815	2.7139937797696	1.95532917224865	2.11527899970028	1.52121460166538	3.04505166355613	2.09811902114578	2.80579658839364	2.04460220218177
POLK	3.00095078333817	3.14245264989009	2.36463125943795	2.82850952419951	2.58342063833863	3.24803776150465	2.62063168456146	2.33969468216898	2.74662191295309
POLL	5.05237067879571	4.51638712267937	4.85741873199119	4.2791050037032	4.63799445779994	4.73382558018078	5.01252442660117	5.47627020817173	4.85741873199119
POLM	4.69149843209177	4.67291011920076	4.00122757174243	4.45036602214997	4.57208444416304	3.40398193865158	4.85953826499729	5.02322607221453	4.82873159614176
POLN	0.29595994791188	0.343358471333718	0.838221584560092	2.12796601860626	0.605751274727715	0.308855824707507	0.62773784196425	0.668876227399796	0.524023644949151
POLQ	2.1351089590455	0.635040086232148	2.31203516372766	1.9593053767833	1.85460771488593	1.06813903054007	0.587248418388033	2.20224248735317	0.931639189387701
POLR1A	3.80095579518348	3.2119167880999	3.23185830313221	4.10556829615595	3.10452755264507	4.14675866368548	3.84293761134115	5.18156336016051	3.48290893176407
POLR1B	4.12859695540311	3.48946972009405	2.81490802805783	4.26141497376467	3.73567921888484	3.75140266135152	4.3346161835581	3.48367520839669	2.72801452610108
POLR1C	5.73413269780013	5.79537604372761	5.77213876723128	6.0202543821952	5.49974513403302	5.33873923453967	4.98120877544946	5.96179763569073	5.69874383254451
POLR1D	7.04289271694734	6.80446147991564	7.47569533683037	7.26823600188204	7.3502709242284	6.40335482003692	7.09901741250544	7.76818763370671	6.08781604613446
POLR1E	4.32969625408624	4.07186390148503	3.0271321065153	4.13302586713694	4.38175404074241	4.5074153676528	4.39242252958861	4.44303900904827	3.43168767229341
POLR2A	5.29156819742465	5.24097903722924	6.11049709071796	4.67251133534827	5.68347750731753	6.29167077762595	5.24244740596991	6.07388726907801	5.25413065551431
POLR2B	5.44984823441966	4.90908134698769	5.42319727879488	5.8929781853042	5.62307994080377	5.60846035210135	5.51629319211121	5.45520127698395	5.19867644345625
POLR2C	5.59103666658053	5.99956690106471	4.97156010748815	5.76957552361199	5.49754945788938	6.63881512821911	6.46726072921587	7.20479511138194	5.94965001720589
POLR2D	4.73014756240493	3.97870817138198	3.93216702558662	5.12998852838538	5.2120525529337	4.23404293302525	4.18208840008882	4.87780902255799	4.29267059854256
POLR2E	6.33036514339291	6.53399403677997	6.14148306529415	5.27968486110532	5.69384403260081	5.19248851449341	5.82024586105891	5.93476180493605	5.55385258240743
POLR2F	4.87227718023458	5.39018340457891	4.46392124372791	6.1995502503755	4.76092881130517	3.45113777159631	4.44380686455966	4.33916375805625	4.95800789732243
POLR2G	6.72983415827038	6.57353267612988	7.30672431088191	6.83020968137817	7.17416070159071	6.25132466418259	6.87531809083519	6.28192131281932	5.97696616046158
POLR2H	7.38937149094707	6.66738266518584	7.8093726394319	7.26279393662065	7.82349462471286	7.53691546102785	6.6871432937073	6.06544909479897	6.88881994710214
POLR2I	7.15916898699796	6.38617997424439	6.62082361458636	6.56484776070935	6.12866066896922	7.18596760969317	6.05024308620227	6.80827305981007	6.44136927055782
POLR2J	7.2256171668208	6.98325813956459	7.05667347725125	7.83489447335224	6.94587102155639	7.81218115697549	7.29189911669617	6.60525207657734	7.27005886865304
POLR2J2	4.11336211949724	3.36943479566128	1.52181862937646	4.16942317690021	2.42365642128405	3.444510439536	5.21396972284724	2.72100400871937	5.64440373289514
POLR2J3	6.61633549292098	5.99883816278984	5.00144422613119	5.28315393279119	5.57259382498856	6.31853955600938	6.61970762368384	6.36544496387511	7.10060242255714
POLR2J4	6.04268920207548	5.21734667011377	3.78198492075817	5.98638908986206	4.42649154195688	4.34333390893438	4.84473362957397	4.90090640609618	4.60967105463095
POLR2K	7.36190956961757	7.13773609859208	7.89661637343167	8.330988115024	7.81502714155929	6.12312152427316	6.83020968137817	6.27927330150867	6.34965914440333
POLR2L	8.26388042610525	7.44212988495863	7.79827932091696	8.83174869478149	7.14101990263889	7.37753938398561	8.07193156437674	7.63721897545056	7.58713092408529
POLR3A	2.40834720162422	2.47622328054761	2.9519743390475	2.69711591803835	3.01341276960461	3.66999617579538	3.23064033703755	3.82920821951811	2.35063104377274
